Date,Open,High,Low,Close*,Adj. close**,Volume
31-Aug-99,"1,324.02","1,333.27","1,306.96","1,320.41","1,320.41","861,700,000"
30-Aug-99,"1,348.27","1,350.70","1,322.80","1,324.02","1,324.02","597,900,000"
27-Aug-99,"1,362.01","1,365.63","1,347.35","1,348.27","1,348.27","570,050,000"
26-Aug-99,"1,381.79","1,381.79","1,361.53","1,362.01","1,362.01","719,000,000"
25-Aug-99,"1,363.50","1,382.84","1,359.20","1,381.79","1,381.79","864,600,000"
24-Aug-99,"1,360.22","1,373.32","1,353.63","1,363.50","1,363.50","732,700,000"
23-Aug-99,"1,336.61","1,360.24","1,336.61","1,360.22","1,360.22","682,600,000"
20-Aug-99,"1,323.59","1,336.61","1,323.59","1,336.61","1,336.61","661,200,000"
19-Aug-99,"1,332.84","1,332.84","1,315.35","1,323.59","1,323.59","684,200,000"
18-Aug-99,"1,344.16","1,344.16","1,332.13","1,332.84","1,332.84","682,800,000"
17-Aug-99,"1,330.77","1,344.16","1,328.76","1,344.16","1,344.16","691,500,000"
16-Aug-99,"1,327.68","1,331.05","1,320.51","1,330.77","1,330.77","583,550,000"
13-Aug-99,"1,298.16","1,327.72","1,298.16","1,327.68","1,327.68","691,700,000"
12-Aug-99,"1,301.93","1,313.61","1,298.06","1,298.16","1,298.16","745,600,000"
11-Aug-99,"1,281.43","1,301.93","1,281.43","1,301.93","1,301.93","792,300,000"
10-Aug-99,"1,297.80","1,298.62","1,267.73","1,281.43","1,281.43","836,200,000"
9-Aug-99,"1,300.29","1,306.68","1,295.99","1,297.80","1,297.80","684,300,000"
6-Aug-99,"1,313.71","1,316.74","1,293.19","1,300.29","1,300.29","698,900,000"
5-Aug-99,"1,305.33","1,313.71","1,287.23","1,313.71","1,313.71","859,300,000"
4-Aug-99,"1,322.18","1,330.16","1,304.50","1,305.33","1,305.33","789,300,000"
3-Aug-99,"1,328.05","1,336.13","1,314.91","1,322.18","1,322.18","739,600,000"
2-Aug-99,"1,328.72","1,344.69","1,325.21","1,328.05","1,328.05","649,550,000"
30-Jul-99,"1,341.03","1,350.92","1,328.49","1,328.72","1,328.72","736,800,000"
29-Jul-99,"1,365.40","1,365.40","1,332.82","1,341.03","1,341.03","770,100,000"
28-Jul-99,"1,362.84","1,370.53","1,355.54","1,365.40","1,365.40","690,900,000"
27-Jul-99,"1,347.75","1,368.70","1,347.75","1,362.84","1,362.84","723,800,000"
26-Jul-99,"1,356.94","1,358.61","1,346.20","1,347.76","1,347.76","613,450,000"
23-Jul-99,"1,360.97","1,367.41","1,349.91","1,356.94","1,356.94","630,580,000"
22-Jul-99,"1,379.29","1,379.29","1,353.98","1,360.97","1,360.97","771,700,000"
21-Jul-99,"1,377.10","1,386.66","1,372.63","1,379.29","1,379.29","785,500,000"
20-Jul-99,"1,407.65","1,407.65","1,375.15","1,377.10","1,377.10","754,800,000"
19-Jul-99,"1,418.78","1,420.33","1,404.56","1,407.65","1,407.65","642,330,000"
16-Jul-99,"1,409.62","1,418.78","1,407.07","1,418.78","1,418.78","714,100,000"
15-Jul-99,"1,398.17","1,409.84","1,398.17","1,409.62","1,409.62","818,800,000"
14-Jul-99,"1,393.56","1,400.05","1,386.51","1,398.17","1,398.17","756,100,000"
13-Jul-99,"1,399.10","1,399.10","1,386.84","1,393.56","1,393.56","736,000,000"
12-Jul-99,"1,403.28","1,406.82","1,394.70","1,399.10","1,399.10","685,300,000"
9-Jul-99,"1,394.42","1,403.28","1,394.42","1,403.28","1,403.28","701,000,000"
8-Jul-99,"1,395.86","1,403.25","1,386.69","1,394.42","1,394.42","830,600,000"
7-Jul-99,"1,388.12","1,395.88","1,384.95","1,395.86","1,395.86","791,200,000"
6-Jul-99,"1,391.22","1,405.29","1,387.08","1,388.12","1,388.12","722,900,000"
2-Jul-99,"1,380.96","1,391.22","1,379.57","1,391.22","1,391.22","613,570,000"
1-Jul-99,"1,372.71","1,382.80","1,360.80","1,380.96","1,380.96","843,400,000"
30-Jun-99,"1,351.45","1,372.93","1,338.78","1,372.71","1,372.71","1,117,000,000"
29-Jun-99,"1,331.35","1,351.51","1,328.40","1,351.45","1,351.45","820,100,000"
28-Jun-99,"1,315.31","1,333.68","1,315.31","1,331.35","1,331.35","652,910,000"
25-Jun-99,"1,315.78","1,329.13","1,312.64","1,315.31","1,315.31","623,460,000"
24-Jun-99,"1,333.06","1,333.06","1,308.47","1,315.78","1,315.78","690,400,000"
23-Jun-99,"1,335.87","1,335.88","1,322.55","1,333.06","1,333.06","731,800,000"
22-Jun-99,"1,349.00","1,351.12","1,335.52","1,335.88","1,335.88","716,500,000"
21-Jun-99,"1,342.84","1,349.06","1,337.63","1,349.00","1,349.00","686,600,000"
18-Jun-99,"1,339.90","1,344.48","1,333.52","1,342.84","1,342.84","914,500,000"
17-Jun-99,"1,330.41","1,343.54","1,322.75","1,339.90","1,339.90","700,300,000"
16-Jun-99,"1,301.16","1,332.83","1,301.16","1,330.41","1,330.41","806,800,000"
15-Jun-99,"1,294.00","1,310.76","1,294.00","1,301.16","1,301.16","696,600,000"
14-Jun-99,"1,293.64","1,301.99","1,292.20","1,294.00","1,294.00","669,400,000"
11-Jun-99,"1,302.82","1,311.97","1,287.88","1,293.64","1,293.64","698,200,000"
10-Jun-99,"1,318.64","1,318.64","1,293.28","1,302.82","1,302.82","716,500,000"
9-Jun-99,"1,317.33","1,326.01","1,314.73","1,318.64","1,318.64","662,000,000"
8-Jun-99,"1,334.52","1,334.52","1,312.83","1,317.33","1,317.33","685,900,000"
7-Jun-99,"1,327.75","1,336.42","1,325.89","1,334.52","1,334.52","664,300,000"
